Station,Lat,Long,Town,River,High Level,Color
Bourton Dickler,51.874767,-1.740083,Little Rissington,Dikler,0.42,"rgba(0, 204, 0)"
Surfleet Sluice,52.845991,-0.100848,Surfleet Seas End,River Glen,0.895,"rgba(255, 0, 0)"
Gaw Bridge,50.976043,-2.793549,Kingsbury Episcopi,River Parrett,0.971,"rgba(255, 0, 0)"
Hemingford,52.323618,-0.101287,Hemingford Grey,River Great Ouse,0.32,"rgba(0, 204, 0)"
Swindon,52.51274,-2.205945,Swindon,Smestow Brook,1.336,"rgba(255, 0, 0)"
A6 Bridge,53.858854,-2.743276,Bilsborrow,Brock,1.3,"rgba(255, 0, 0)"
Hatterell Bridge,50.965045,-0.323238,West Grinstead,Adur,0.95,"rgba(255, 0, 0)"
Netherside Hall,54.080705,-2.024779,Netherside Hall,River Wharfe,3,"rgba(255, 0, 0)"
Ardingly,51.038451,-0.100268,Ardingly,Ouse [So],0.6,"rgba(255, 194, 0)"
Letcombe Regis,51.571482,-1.449342,Letcombe Regis,Letcombe Brook,0.71,"rgba(255, 194, 0)"
Bradley Bridge,51.521892,-2.521122,Winterbourne,Bradley Brook,0.543,"rgba(255, 194, 0)"
Lovington,51.083697,-2.586936,Lovington,River Brue,2.16,"rgba(255, 0, 0)"
Goulceby,53.296901,-0.131922,Goulceby,Bain,0.35,"rgba(0, 204, 0)"
Northern Moor,53.407591,-2.294665,Northern Moor,Baguley Brook,0.267,"rgba(0, 204, 0)"
Collyhurst Weir,53.493682,-2.229815,Manchester,Irk,0.287,"rgba(0, 204, 0)"
Haslingfield Burnt Mill,52.151539,0.067146,Haslingfield,River Rhee,0.4,"rgba(0, 204, 0)"
"Pinner, Eastcote Road",51.589297,-0.381167,Pinner,Pinn,1,"rgba(255, 0, 0)"
Pickering,54.246377,-0.778392,Pickering,Pickering Beck,1,"rgba(255, 0, 0)"
Chineham,51.296962,-1.056426,Chineham,Petty's Brook,1.745,"rgba(255, 0, 0)"
"Luton, Toddington Road",51.908463,-0.46427,Leagrave,Lee (Upper),0.9,"rgba(255, 0, 0)"
Salisbury Ashley Road,51.076527,-1.803528,Salisbury,River Avon,0.48,"rgba(0, 204, 0)"
Yeaton,52.76777,-2.839715,Yeaton,River Perry,0.7,"rgba(255, 194, 0)"
Kingston,51.415005,-0.308869,Kingston Upon Thames,Thames,5.15,"rgba(255, 0, 0)"
"Addingham, Town Beck",53.944393,-1.886441,Addingham,River Wharfe,1,"rgba(255, 0, 0)"
Newbridge Weir B,51.713499,-1.420988,Standlake,Windrush,0.349,"rgba(0, 204, 0)"
Litton Cheney,50.710758,-2.638832,Litton Cheney,Litton Cheney Stream,0.5,"rgba(255, 194, 0)"
Rede Bridge,55.142955,-2.208614,Redesmouth,River Rede,2,"rgba(255, 0, 0)"
Rochdale ETW,53.611067,-2.178685,Rochdale,Roch,1.23,"rgba(255, 0, 0)"
Twyford Bridge,53.26962,-0.952008,Elkesley,River Poulter,1.42,"rgba(255, 0, 0)"
Rolster Bridge,50.393426,-3.73051,Harbertonford,River Harbourne,1,"rgba(255, 0, 0)"
Bragbury Park,51.874477,-0.149495,Bragbury End,Stevenage Brook,0.65,"rgba(255, 194, 0)"
Lugwardine,52.061919,-2.659977,Lugwardine,Lugg,2.4,"rgba(255, 0, 0)"
Fleet Pumping Station,53.851912,-1.157795,Ryther,River Wharfe,6.5,"rgba(255, 0, 0)"
Darfield Bridge,53.536358,-1.366253,Darfield,River Dearne,3.06,"rgba(255, 0, 0)"
Merrywalks,51.746918,-2.217953,Stroud,Slad Brook,0.35,"rgba(0, 204, 0)"
Great Glen,52.574167,-1.035067,Great Glen,River Sence (Soar),1.22,"rgba(255, 0, 0)"
Prestbury,53.289231,-2.148611,Prestbury,Bollin,1.26,"rgba(255, 0, 0)"
Victoria Bridge - New,54.330571,-2.742287,"Victoria Bridge, Kendal",River Kent,1.578,"rgba(255, 0, 0)"
Bitton,51.426965,-2.459703,Bitton,River Boyd,0.399,"rgba(0, 204, 0)"
Walford Mill,50.805852,-1.990007,Wimborne Minster,River Allen,0.546,"rgba(255, 194, 0)"
Dawlish,50.580497,-3.472207,Dawlish,Dawlish Water,0.34,"rgba(0, 204, 0)"
Aston Bridge,52.877141,-1.759128,Sudbury,River Dove,1.555,"rgba(255, 0, 0)"
Claypole,53.022669,-0.746145,Claypole,Upper Witham,0.62,"rgba(255, 194, 0)"
Little Alne,52.247533,-1.793996,Little Alne,River Alne,1.329,"rgba(255, 0, 0)"
Alwinton Bridge,55.344803,-2.122952,Alwinton,River Coquet,1.6,"rgba(255, 0, 0)"
Heacham,52.908305,0.504442,Heacham,Heacham River,0.133,"rgba(0, 204, 0)"
Rewe,50.782406,-3.496159,Rewe,River Culm,1.154,"rgba(255, 0, 0)"
Kirkburton Riley Lane,53.60958,-1.705229,Kirkburton,Dean Bottom Beck,0.72,"rgba(255, 194, 0)"
Brigg,53.550068,-0.501979,Brigg,Ancholme,2.38,"rgba(255, 0, 0)"
North America,53.7781,-0.713178,North America,Market Weighton Canel,1.5,"rgba(255, 0, 0)"
Romanby,54.336432,-1.450586,Romanby,Willow Beck,1.2,"rgba(255, 0, 0)"
Hungerford Shalbourne,51.412847,-1.526019,Hungerford,River Shalbourne,0.6,"rgba(255, 194, 0)"
Temple Sowerby,54.648336,-2.614388,Temple Sowerby,Eden,3.3,"rgba(255, 0, 0)"
Highbridge weir,50.990287,-1.335564,Colden Common,Itchen,0.75,"rgba(255, 194, 0)"
"Walthamstow, Low Hall",51.574894,-0.043637,Walthamstow,Lee (Lower),1,"rgba(255, 0, 0)"
Denton Holme,54.885739,-2.937513,Carlisle,Caldew,2.7,"rgba(255, 0, 0)"
Sinnington,54.262449,-0.859287,Sinnington,River Seven,1.3,"rgba(255, 0, 0)"
Worsbrough,53.526193,-1.473913,Worsbrough,River Dove,0.295,"rgba(0, 204, 0)"
Ulpha,54.341859,-3.218047,Hall Dunnerdale,Duddon,1.5,"rgba(255, 0, 0)"
Slea Tilting Gate,52.998853,-0.408576,Sleaford,Slea,0.382,"rgba(0, 204, 0)"
