Station,Lat,Long,Town,River,Water Level
Bourton Dickler,51.874767,-1.740083,Little Rissington,Dikler,0.214
Surfleet Sluice,52.845991,-0.100848,Surfleet Seas End,River Glen,0.784
Gaw Bridge,50.976043,-2.793549,Kingsbury Episcopi,River Parrett,0.294
Hemingford,52.323618,-0.101287,Hemingford Grey,River Great Ouse,0.206
Swindon,52.51274,-2.205945,Swindon,Smestow Brook,1.657
A6 Bridge,53.858854,-2.743276,Bilsborrow,Brock,0.434
Hatterell Bridge,50.965045,-0.323238,West Grinstead,Adur,1.42
Netherside Hall,54.080705,-2.024779,Netherside Hall,River Wharfe,1.019
Ardingly,51.038451,-0.100268,Ardingly,Ouse [So],0.39
Letcombe Regis,51.571482,-1.449342,Letcombe Regis,Letcombe Brook,0.052
Bradley Bridge,51.521892,-2.521122,Winterbourne,Bradley Brook,0.155
Lovington,51.083697,-2.586936,Lovington,River Brue,0.296
Goulceby,53.296901,-0.131922,Goulceby,Bain,0.139
Northern Moor,53.407591,-2.294665,Northern Moor,Baguley Brook,0.361
Collyhurst Weir,53.493682,-2.229815,Manchester,Irk,0.353
Haslingfield Burnt Mill,52.151539,0.067146,Haslingfield,River Rhee,0.183
"Pinner, Eastcote Road",51.589297,-0.381167,Pinner,Pinn,0.589
Pickering,54.246377,-0.778392,Pickering,Pickering Beck,0.202
Chineham,51.296962,-1.056426,Chineham,Petty's Brook,0.289
"Luton, Toddington Road",51.908463,-0.46427,Leagrave,Lee (Upper),0.071
Salisbury Ashley Road,51.076527,-1.803528,Salisbury,River Avon,0.337
Yeaton,52.76777,-2.839715,Yeaton,River Perry,0.315
Kingston,51.415005,-0.308869,Kingston Upon Thames,Thames,4.641
"Addingham, Town Beck",53.944393,-1.886441,Addingham,River Wharfe,0.196
Newbridge Weir B,51.713499,-1.420988,Standlake,Windrush,0.194
Litton Cheney,50.710758,-2.638832,Litton Cheney,Litton Cheney Stream,0.159
Rede Bridge,55.142955,-2.208614,Redesmouth,River Rede,0.759
Rochdale ETW,53.611067,-2.178685,Rochdale,Roch,0.517
Twyford Bridge,53.26962,-0.952008,Elkesley,River Poulter,0.698
Rolster Bridge,50.393426,-3.73051,Harbertonford,River Harbourne,0.23
Bragbury Park,51.874477,-0.149495,Bragbury End,Stevenage Brook,0.145
Lugwardine,52.061919,-2.659977,Lugwardine,Lugg,1.487
Fleet Pumping Station,53.851912,-1.157795,Ryther,River Wharfe,5.266
Darfield Bridge,53.536358,-1.366253,Darfield,River Dearne,0.512
Merrywalks,51.746918,-2.217953,Stroud,Slad Brook,0.245
Great Glen,52.574167,-1.035067,Great Glen,River Sence (Soar),0.953
Prestbury,53.289231,-2.148611,Prestbury,Bollin,0.534
Victoria Bridge - New,54.330571,-2.742287,"Victoria Bridge, Kendal",River Kent,1.517
Bitton,51.426965,-2.459703,Bitton,River Boyd,0.294
Walford Mill,50.805852,-1.990007,Wimborne Minster,River Allen,0.363
Dawlish,50.580497,-3.472207,Dawlish,Dawlish Water,0.208
Aston Bridge,52.877141,-1.759128,Sudbury,River Dove,1.599
Claypole,53.022669,-0.746145,Claypole,Upper Witham,0.242
Little Alne,52.247533,-1.793996,Little Alne,River Alne,0.953
Alwinton Bridge,55.344803,-2.122952,Alwinton,River Coquet,0.495
Heacham,52.908305,0.504442,Heacham,Heacham River,0.094
Rewe,50.782406,-3.496159,Rewe,River Culm,0.39
Kirkburton Riley Lane,53.60958,-1.705229,Kirkburton,Dean Bottom Beck,0.124
Brigg,53.550068,-0.501979,Brigg,Ancholme,0.382
North America,53.7781,-0.713178,North America,Market Weighton Canel,-0.087
Romanby,54.336432,-1.450586,Romanby,Willow Beck,0.218
Hungerford Shalbourne,51.412847,-1.526019,Hungerford,River Shalbourne,0.102
Temple Sowerby,54.648336,-2.614388,Temple Sowerby,Eden,1.231
Highbridge weir,50.990287,-1.335564,Colden Common,Itchen,0.421
"Walthamstow, Low Hall",51.574894,-0.043637,Walthamstow,Lee (Lower),0.223
Denton Holme,54.885739,-2.937513,Carlisle,Caldew,0.786
Sinnington,54.262449,-0.859287,Sinnington,River Seven,0.494
Worsbrough,53.526193,-1.473913,Worsbrough,River Dove,0.116
Ulpha,54.341859,-3.218047,Hall Dunnerdale,Duddon,0.6
Slea Tilting Gate,52.998853,-0.408576,Sleaford,Slea,0.367
Bristol Harbour Passage Street,51.45411,-2.586653,Bristol Harbour Passage Street,Bristol Frome,
Copley Bridge,53.697959,-1.873488,Copley,River Calder,
Denham Colne,51.56631,-0.483905,Denham,Colne,0.169
Lenton,52.948176,-1.183337,Lenton,River Leen,0.169
Worcester (Barbourne),52.206967,-2.235272,Worcester,River Severn,1.605
Allen Mill Bridge,54.904713,-2.265082,Allendale Town,River East Allen,0.376
Scotter,53.498488,-0.664311,Scotter,River Eau,0.305
Eamont Bridge Farm,54.651055,-2.743236,Eamont Bridge,River Eamont,1.03
Harford Hill,52.255374,-2.193909,Salwarpe,River Salwarpe,0.281
Far Sawrey,54.352722,-2.940028,Mitchell Wyke Ferry Bay,Lake Windermere,1.08
Skip Bridge,53.998678,-1.266199,Kirk Hammerton,River Nidd,2.355
St Michaels,53.863761,-2.817872,St Michael's On Wyre,Wyre,0.76
Laverstock,51.072524,-1.77754,Laverstock,River Bourne,0.24
Chingford,51.619051,0.008836,Chingford,Ching Brook,0.314
Bridge Trafford,53.234132,-2.827991,Bridge Trafford,Gowy,0.551
Loddiswell,50.31395,-3.800717,Loddiswell,River Avon,0.542
Freshfield Bridge,51.002867,-0.027718,Scayne's Hill,Ouse [So],0.807
Killamarsh,53.326718,-1.328824,Killamarsh,River Rother,0.443
"Stains, Pounds Mill",51.43615,-0.514892,Staines,Wraysbury River,0.116
Ravenstone Mill Sluice,52.129553,-0.753104,Filgrave,River Great Ouse,0.922
Trowbridge,51.31742,-2.206553,Trowbridge,River Biss,0.339
Caker Stream,51.140148,-0.959908,Alton,Caker Stream,0.246
Islip Sluice,52.401841,-0.5448,Islip,Nene (Wollaston-Wansford),1.207
Aldington Upstream,51.105167,0.948046,Aldington,East Stour Trib  Great Stour,0.071
Abingdon Peachcroft,51.683092,-1.268125,Abingdon,Ock,0.693
Colesbrook,51.049578,-2.276018,Milton On Stour,Shreen Water,0.22
Mansfield The Dykes,53.166753,-1.164236,Mansfield,River Maun,0.329
Withy Bridge,50.752006,-3.454461,Broadclyst,River Clyst,0.189
Bransford,52.177055,-2.28833,Bransford,River Teme,1.256
Dodford,52.240918,-1.083171,Dodford,Nene - Whitton Branch,0.18
Wharf Mill,51.0582,-1.308338,Winchester,Itchen,0.399
St Erth,50.156881,-5.432918,St Erth,River Hayle,0.457
Thirsk,54.235258,-1.341973,Thirsk,Cod Beck,0.641
Castleton,54.466168,-0.944968,Castleton,River Esk,0.169
Portwood,53.42353,-2.141405,Bredbury,Tame,0.288
Ilfracombe Lambda,51.196412,-4.120133,Ilfracombe,East Wilder Brook,0.3
Wanes Blades,53.607043,-2.793103,Newburgh,Douglas,1.06
Bulwell,53.009557,-1.190048,Bulwell,River Leen,0.384
Nutclough,53.744763,-2.010569,Hebden Bridge,Hebden Water,0.148
Rodbourne,51.571821,-1.816698,Haydon Wick,Ray (Wilts),0.191
Edgware Hospital,51.607093,-0.271414,Edgware,Silk Stream,0.832
Sawbridgeworth,51.812151,0.158674,Sawbridgeworth,Stort,1.283
Witham Friary,51.169425,-2.364153,Witham Friary,Somerset Frome,-0.073
Glemsford,52.09308,0.693213,Stanstead,River Glem,0.223
